active_sport,hours_outside,likes_active_leisure,likes_passive_leisure,travels_often,is_extrovert,is_introvert,lives_in_house,lives_in_apartment,park_nearby,has_children,wants_to_love,wants_to_be_loved,monthly_pet_spending,comfortable_noise_level_db,weekly_cleaning_sessions,pet_preference
1,6,1,0,0,1,0,1,0,1,1,1,1,8500,75,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7200,70,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9300,80,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,6500,68,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10100,82,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7800,74,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9700,81,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6900,69,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,8800,78,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7500,72,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,9900,83,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6200,65,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9000,79,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8100,76,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10500,85,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7000,71,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9400,80,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,7600,73,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,11000,88,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6700,67,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,9100,79,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7900,75,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,10200,84,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6400,66,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9600,81,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8300,77,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10800,87,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7100,72,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9200,80,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8000,75,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10300,84,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6600,68,2,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,8900,78,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,7700,73,2,dog
1,5,1,0,0,1,0,1,0,1,0,1,1,10600,86,1,dog
1,8,1,0,0,1,0,0,1,1,1,1,1,6800,70,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9500,82,1,dog
1,7,1,0,0,1,0,1,0,1,0,1,1,8200,76,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,10900,88,1,dog
1,8,1,0,0,1,0,0,1,1,0,1,1,7300,71,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,9800,83,1,dog
