active_sport,hours_outside,likes_active_leisure,likes_passive_leisure,travels_often,is_extrovert,is_introvert,lives_in_house,lives_in_apartment,park_nearby,has_children,wants_to_love,wants_to_be_loved,monthly_pet_spending,comfortable_noise_level_db,weekly_cleaning_sessions,pet_preference
1,7,1,0,0,1,0,1,0,1,1,1,1,6975,72,2,dog
1,8,1,1,0,1,0,1,0,1,1,1,1,7272,70,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2814,35,4,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,9026,67,1,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,2573,34,5,cat
0,9,0,1,1,0,1,0,1,1,0,1,1,2237,34,4,cat
1,7,1,1,1,1,0,1,0,1,0,1,1,5553,52,3,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,11425,71,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,3484,21,5,cat
0,10,0,1,0,0,1,0,1,1,1,1,1,4100,58,3,dog
1,7,1,1,0,1,0,1,0,1,1,1,1,7329,66,2,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,2178,29,5,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3114,31,4,cat
1,9,1,1,0,1,0,1,0,1,0,1,1,10228,81,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10257,80,2,dog
0,10,0,1,1,0,1,0,1,1,0,1,1,3902,32,4,cat
0,9,1,1,0,0,1,0,1,0,0,1,1,3800,50,2,dog
1,5,1,1,0,1,0,1,0,1,1,1,1,11516,84,3,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,6988,62,1,dog
0,10,0,1,0,0,1,0,1,1,1,1,1,4100,58,3,dog
1,8,1,0,0,1,0,1,0,1,0,1,1,7471,85,3,dog
1,8,1,0,0,1,0,1,0,1,1,1,1,10452,78,1,dog
0,11,0,1,1,0,1,0,1,1,0,1,1,3352,24,6,cat
0,9,0,1,1,0,1,0,1,1,0,1,1,1805,42,4,cat
1,6,1,1,0,1,0,1,0,1,1,1,1,4771,83,3,dog
1,7,1,1,0,1,0,1,0,1,0,1,1,4987,70,3,dog
1,6,1,1,0,1,0,1,0,1,1,1,1,10065,86,1,dog
1,7,1,0,0,1,0,1,0,1,1,1,1,9273,73,3,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,2997,44,4,cat
1,5,1,1,0,1,0,1,0,1,1,1,1,8896,82,3,dog
1,6,1,0,0,1,0,1,0,1,0,1,1,8632,82,3,dog
0,9,0,1,1,0,1,0,1,0,0,1,1,4383,29,5,cat
1,5,1,0,0,1,0,1,0,1,0,1,1,9111,76,2,dog
1,5,1,1,0,1,0,1,0,1,1,1,1,9735,74,2,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,9215,81,2,dog
0,10,0,1,1,0,1,0,1,0,1,1,1,4157,41,4,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,7208,61,2,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,10531,88,3,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,3134,22,5,cat
1,8,1,0,0,1,0,1,0,1,1,1,1,8955,79,1,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,3731,35,5,cat
0,11,0,1,1,0,1,0,1,1,0,1,1,3600,54,2,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2138,40,4,cat
0,11,0,1,0,0,1,0,1,1,0,1,1,3248,31,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,3579,25,5,cat
1,7,1,0,0,1,0,1,0,1,1,1,1,8078,82,1,dog
0,10,0,1,1,0,1,0,1,0,0,1,1,2890,26,4,cat
1,6,1,0,0,1,0,1,0,1,1,1,1,7875,70,1,dog
1,8,1,0,1,1,0,0,1,1,1,1,1,3560,42,4,cat
1,7,1,1,0,1,0,1,0,1,0,1,1,5036,75,3,dog
1,5,1,0,0,1,0,1,0,1,1,1,1,8891,89,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,6916,77,3,dog
1,6,1,0,0,1,0,1,0,1,1,1,1,8029,67,2,dog
0,9,0,1,1,0,1,0,1,1,0,1,1,1839,37,6,cat
1,6,1,0,1,1,0,1,0,1,0,1,1,5880,55,4,cat
0,10,0,1,1,0,1,0,1,0,0,1,1,2419,25,5,cat
1,5,1,0,0,1,0,1,0,1,1,1,1,11894,84,3,dog
0,11,0,1,1,0,1,0,1,0,0,1,1,1888,34,5,cat
